Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
反	HAN, TAN, so	oppose, anti, reverse, bend, cloth, measure	L3	393	4	反応 [HANNŌ*] - reaction; 反核 [HANKAKU] - anti-nuclear; 反物 [TANmono] - textiles		CLIFF OPPOSES HAND	
坂	HAN, saka	slope	L3	394	7	急坂 [KYŪHAN] - steep slope; 坂道 [sakamichi] - slope; 下り坂 [kudarizaka] - downhill		SLOPE IS OPPOSED GROUND	
板	HAN, BAN, ita	board, plate	L3	395	8	黒板 [KOKUBAN] - blackboard; 板紙 [itagami] - cardboard; 板前 [itamae] - chef		OPPOSED WOODEN BOARDS	
皮	HI, kawa	skin, leather	L3	396	5	皮膚 [HIFU] - skin; 皮肉 [HINIKU] - sarcasm; 木の皮 [kinokawa] - bark		SKINS WITH AN OPPOSED EXTRA STROKE	
悲	HI, kana	sad	L3	397	12	悲劇 [HIGEKI] - tragedy; 悲鳴 [HIMEI] - shriek, wail; 悲しみ [kanashimi] - sorrow	Seal ; a late graph ( Shuowen ). Has 心 164 ‘heart, mind’, and 非 794 (originally bird wings, meaning ‘oppose’, and by extension ‘deny; wrong’) as phonetic with associated sense ‘sad, misery, grief’. The overall meaning ‘sad, misery’ can be understood as ‘opposing/conflicted feelings’. YK1976:424; KJ1970:797; SS1984:713.	MY HEART HAS WINGS – YET I AM SAD!	images/Chapter3_img_236.jpg
美	BI, utsuku	beautiful, fine	L3	398	9	美人 [BIJIN] - beautiful woman; 美術 [BIJUTSU] - fine arts; 美学 [BIGAKU] - aesthetics		A BEAUTIFUL FAT SHEEP	
鼻	BI, hana	nose	L3	399	14	鼻音 [BION] - nasal sound; 鼻先 [hanasaki] - tip of nose; 鼻薬 [hanagusuri] - bribe	Originally found in OBI in simpler graph 自 150 (‘nose’, ‘self’). Seal form for 鼻 is . Has 自 , originally a pictograph of the nose, and 畀 (CO, originally ‘arrow with big head’) as phonetic with associated sense in dispute: ‘stick out’ (Yamada, Ogawa), or ‘two things are together’ (Mizukami, Tōdō), or ‘naturally draw in and expel air’ (Mizukami). MS1995:v2:1522-3; YK1976:425; OT1968:1171. Suggest 自 as ‘nose’, 田 as 田 63 ‘field’, and lower part as two ‘tens’ 十 35.	OWN NOSE FOLLOWS TRAIL THROUGH TWENTY FIELDS	images/Chapter3_img_239.jpg
筆	HITSU, fude	writing brush	L3	400	12	鉛筆 [ENPITSU] - pencil; 筆者 [HISSHA] - writer; 筆使い [fudezukai] - penmanship		HAND HOLDS BAMBOO WRITING BRUSH	
氷	HYŌ, kōri	ice	L3	401	5	氷山 [HYŌZAN] - iceberg; 氷点 [HYŌTEN] - freezing point; 氷水 [kōrimizu] - ice water		A CRACK IN THE WATER? – THAT MUST MEAN ICE	
表	HYŌ, omote, arawa	show, surface, list	L3	402	8	表面 [HYŌMEN] - surface; 表現 [HYŌGEN] - expression; 時刻表 [JIKOKUHYŌ] - timetable	Seal . Has 衣 444 ‘clothing’, and 毛 230 ‘fur, hair’. The function of the element 毛 is disputed: taken either as phonetic with associated sense ‘envelop, enclose’, to give ‘outer garment to cover inside’ (Katō, Mizukami, Yamada), or as semantic and interpreted as a garment worn over a fur coat (Mizukami, Qiu). The meanings ‘front, surface; show’ are extended usages. KJ1970:843-4; MS1995:v2:1164-5; YK1976:427; QX2000:20. Suggest take the top part as odd variant of ‘master’ 主 315, with ‘clothing’ 衣 .	THE ODD MASTER’S CLOTHES SHOW A LONG LIST	images/Chapter3_img_242.jpg
秒	BYŌ	second (of time)	L3	403	9	二秒 [NIBYŌ] - two seconds; 秒針 [BYŌSHIN] - a second hand; 秒速 [BYŌSOKU] - speed per sec.	Seal ; a late graph ( Shuowen ). Has 禾 87 ‘grain plant/cereal’, and 少 160 (‘few, little’) taken either as phonetic and semantic meaning ‘small’ (Ogawa), or as phonetic with associated sense ‘slender, thin’ (Yamada) or ‘ear (of cereal)’ – again, something small – (Katō). The sense ‘small’ was then extended to small units, giving ‘second’ in the dimension of time. KJ1970:847; YK1976:429; OT1968:731.	A LITTLE BIT OF CEREAL EATEN IN A SECOND	images/Chapter3_img_243.jpg
病	BYŌ, yamai, ya	illness, sickness	L4	404	10	病気 [BYŌKI] - illness; 病人 [BYŌNIN] - sick person; 黒死病 [KOKUSHIBYŌ] - plague	Seal ; a late graph ( Shuowen ). Has 疒 ‘(sick-) bed’ (the ‘sickness’ determinative, based on a person resting on a bed), and 丙 1932 (originally, probably chopping board used in rituals, now ‘third class’), as phonetic with associated sense ‘be added’, to give ‘illness which gets worse’. KJ1970:837,938-40; YK1976:429; OT1968:678; SS1984:728.	THIRD CLASS HEALTH LEADS TO ILLNESS	images/Chapter3_img_244.jpg
品	HIN, shina	goods, quality, kind	L4	405	9	商品 [SHŌHIN] - commodity; 品質 [HINSHITSU] - quality; 品物 [shinamono] - goods		THREE BOXES OF QUALITY GOODS	
負	FU, ma	defeat, carry	L3	406	9	負傷 [FUSHŌ] - wound; 負担 [FUTAN] - burden; 負け嫌い [makegirai] - unyielding		DEFEATED PERSON CARRIES SHELL-MONEY AWAY	
部	BU	part, section	L3	407	11	部分 [BUBUN] - part; 部長 [BUCHŌ] - head of division; 部屋 [heya*] - room	Seal ; late graph ( Shuowen ). Has right-hand determinative 阝 376 (full form: 邑 ), ‘village, settlement’, and 咅 ‘spit’ (see 389), here as phonetic with disputed associated sense. Katō and Yamada feel sense unclear as originally 部 was a proper noun for a tribe in western China, and treat it as loan usage for ‘part, section’. Tōdō, however, includes 部 in a word-family ‘oppose; divide’, linking it to a word later written 剖 1975 ‘cut, split open’. Shirakawa also takes the sense as ‘divide’. KJ1970:759; YK1976:435; TA1965:155-8; SS1984:745-6. Suggest taking 咅 as 立 77 ‘stand’ and 口 22 ‘mouth’.	STAND OPEN-MOUTHED AT PART OF THE VILLAGE ON THE RIGHT	images/Chapter3_img_247.jpg
服	FUKU	clothes, yield, serve	L4	408	8	服装 [FUKUSŌ] - clothing; 服従 [FUKUJŪ] - submission; 服部 [Hattori*] - a surname		SERVILE HAND PUTS CLOTHES ON HOIST UNDER THE MOON	
福	FUKU	good fortune	L3	409	13	幸福 [KŌFUKU] - happiness; 福引 [FUKUbiki] - lottery; 福音書 [FUKUINSHO] - Gospels		ALTAR AT SINGLE ENTRANCE TO FIELD – WHAT GOOD FORTUNE	
物	BUTSU, MOTSU, mono	thing	L4	410	8	人物 [JINBUTSU] - person; 食物 [SHOKUMOTSU] - food; 食べ物 [tabemono] - food		COW WITH STREAMERS FROM ITS HORNS – WHAT A FUNNY THING	
平	HEI, BYŌ, tai	flat, even, calm	L3	411	5	平気 [HEIKI] - calmness; 平等 [BYŌDŌ] - equality; 平手 [hirate] - palm of hand		SCALES ARE FLAT AND EVEN	
返	HEN, kae	return	L3	412	7	返事 [HENJI] - reply; 返済 [HENSAI] - repayment; 仕返し [shikaeshi] - retaliation		REVERSE MOVEMENT AND RETURN	
勉	BEN	strive	L4	413	10	勉強 [BENKYŌ] - study; 勤勉 [KINBEN] - diligence; 勉学 [BENGAKU] - study	Seal ; a late graph ( Shuowen ). Katō and Yamada take as 力 78 ‘strength, power’, with 免 2018 q.v. (originally a woman striving to give birth; now meaning ‘avoid, escape’) as phonetic with associated sense ‘be born’. Along the same lines, Tōdō notes 免 as the original way of writing NJK 娩 ‘childbirth’, and includes it in the word-family ‘take out/produce with great effort’. The graph 勉 thus has the meaning ‘make an effort, strive’. KJ1970:854; YK1976:449; TA1965:739-41.	STRIVE STRONGLY TO ESCAPE	images/146a.jpg
放	HŌ, hana	release, emit	L3	414	8	開放 [KAIHŌ] - liberation; 放射 [HŌSHA] - radiation; 手放す [tebanasu] - let go		BEATING A PERSON IS A FORM OF RELEASE FOR SOME	
味	MI, aji, aji	taste, relish	L4	415	8	意味 [IMI] - meaning; 興味 [KYŌMI] - interest; 味見 [ajimi] - tasting	Seal ; late graph ( Shuowen ). Has 口 22 ‘mouth’, and 未 617 (originally a tree with luxuriant foliage, but borrowed to mean ‘not yet’) as phonetic with associated sense ‘delicious’ (Ogawa says ‘good’), to give ‘taste, flavor’. Also used by extension to denote an attribute or quality. KJ1970:869; YK1976:464; OT1968:179; AS2007:512.	TASTE NOT YET IN THE MOUTH	images/Chapter3_img_263.jpg
命	MEI, MYŌ, inochi	life, order	L3	416	8	命令 [MEIREI] - order; 生命 [SEIMEI] - life; 命取り [inochitori] - fatal		LIFE CAN HINGE ON A SPOKEN ORDER	
面	MEN, omo(te), tsura	face, aspect, mask	L3	417	9	外面 [GAIMEN] - exterior; 面白い [omoshiroi] - interesting; 鼻面 [hanazura] - muzzle		FACE-MASK WITH BIG EYE IN THE MIDDLE AND A FLAT TOP	
問	MON, to	ask	L4	418	11	質問 [SHITSUMON] - question; 学問 [GAKUMON] - scholarship; 問屋 [toiya/tonya*] - dealer		ASK WHO’S CALLING AT THE DOOR	
役	YAKU, EKI	role, service, duty	L3	419	7	役人 [YAKUNIN] - functionary; 役者 [YAKUSHA] - actor; 兵役 [HEIEKI] - military service		GO OFF WITH STICK IN HAND TO DO ONE’S DUTY	
薬	YAKU, kusuri	medicine, drug	L4	420	16	薬局 [YAKKYOKU] - pharmacy; 火薬 [KAYAKU] - gunpowder; 薬指 [kusuriyubi] - ring finger		MEDICINAL PLANT GIVES PLEASURE	
由	YU, YŪ, yoshi	reason, means, way, from	L4	421	5	由来 [YURAI] - derivation; 理由 [RIYŪ] - reason; 自由 [JIYŪ] - freedom	Seal . Etymology disputed. Katō and Yamada treat as originally same graph as 西 169 (later divergence in shape), showing basket/bag for pressing out liquid in wine-making. Shirakawa sees early forms of 由 as the same as for 卣 (‘small-necked wine jar’), which he takes as initially showing a fleshy gourd that produced a form of oil (see 油 422 ‘oil’). Ogawa also treats 卣 and 由 as having same early forms. Differences in analysis of early forms of 由 reflect difficulties often found in deciding which old forms correspond to which modern graphs. The abstract meanings for 由 such as ‘from’ may be taken as loan usages. KJ1970:24; YK1976:476; SS1984:829; OT1968:669,144. Take as 田 63 ‘field’ and l as a drill.	THERE’S A REASON FOR THE DRILL IN THE FIELD (see 422 below)	images/Chapter3_img_274.jpg
油	YU, abura	oil	L3	422	8	油田 [YUDEN] - oil field; 灯油 [TŌYU] - kerosene; 油絵 [aburaE] - oil painting		THE REASON IS THAT THE LIQUID IN THE FIELD IS OIL (see 421 above)	
有	YŪ, U, a	have, exist	L4	423	6	所有者 [SHOYŪSHA] - owner; 有無 [UMU] - existence; 有り難う [arigatō] - thank you		EXISTENCE IS DEPENDENT ON HAVING MEAT IN HAND	
遊	YŪ, YU, aso	play, relax	L3	424	12	遊覧 [YŪRAN] - sightseeing; 遊山 [YUSAN] - excursion; 遊び場 [asobiba] - playground		CHILD PLAYS ALONGSIDE MOVING PERSON	
予	YO, kane	already, prior, me	L3	425	4	予約 [YOYAKU] - booking; 予想 [YOSŌ] - expectation; 予定 [YOTEI] - schedule		THE NAIL IS ALREADY BENT	
羊	YŌ, hitsuji	sheep	L1	426	6	羊皮 [YŌHI] - sheepskin; 羊水 [YŌSUI] - amniotic fluid; 羊飼い [hitsujikai] - shepherd	OBI ; seal . Originally a pictograph showing head and horns of a sheep; as Ma observes, this stands for the whole animal. Katō and Mizukami follow the view in Shuowen that the tail is shown also, though the longish line in some OBI occurrences could represent the body instead. In compound graphs, the shortened form is often used. MR2007:293-4; YK1976:482; KJ1970:875; MS1995:v2:1038-9.	THIN-BODIED SHEEP WITH HORNS AND THREE STRIPES	images/Chapter3_img_284.jpg; images/Chapter3_img_285.jpg; images/150a.jpg
洋	YŌ	ocean, Western	L4	427	9	西洋人 [SEIYŌJIN] - Westerner; 大西洋 [TAISEIYŌ] - Atlantic Ocean; 洋食 [YŌSHOKU] - Western food		OCEAN OF WHITE SHEEP, NOT WHITE HORSES!	
葉	YŌ, ha	leaf, generation	L3	428	12	針葉樹 [SHIN’YŌJU] - conifer; 葉巻 [hamaki] - cigar; 葉書 [hagaki] - postcard	Seal ; late graph ( Shuowen ). Has 艹 53 plant/grass, and 枼 (OBI form ; a CO that originally represented thin flat leaves on tree branches, later stylized to 世 344 ‘generation’ qv and 木 73 ‘tree’) as phonetic with associated sense ‘thin and flat’. In Tōdō’s word-family ‘thin’. He suggests that the (lesser and now rare) sense ‘generation, age’ is a metaphoric use based on layers of leaves one on top of the other. OT1968:863; MS1995:v1:662; TA1965:831-3.	LEAVES ARE GENERATIONS OF PLANTS ON A TREE	images/Chapter3_img_289.jpg; images/Chapter3_img_290.jpg
陽	YŌ, hi	sunny, male, positive	L3	429	12	陽極 [YŌKYOKU] - anode; 陽気 [YŌKI] - liveliness, good cheer; 太陽系 [TAIYŌKEI] - solar system		POSITIVELY SUNNY RAYS FALL ON HILLSIDE	
様	YŌ, sama	situation, way, appearance, polite suffix	L3	430	14	仕様 [SHIYŌ] - way, means; 有様 [arisama] - situation; 皆様 [minasama] - everyone (polite)	Seal ; traditional 樣 ; a late graph ( Shuowen ). Has 木 73 ‘tree, wood’, and what is generally taken as 羕 (originally pictograph of big river with tributaries) as phonetic. Yamada takes 羕 as having associated sense ‘resemble’, and Katō says it may have this meaning, but despite the connection with appearance, both consider ‘appearance/form’ as loan usage. Ogawa takes 樣 to be a variant of the NJK 橡 ‘horse chestnut’ or ‘oak’, and likewise takes 様 as a loan for ‘appearance’. As for the use of 様 for‘ –sama ’ as a polite suffix, there was an independent Japanese word sama ‘condition/appearance/shape’, found from about the tenth century, sometimes written as 様 , and its use in modern Japanese for ‘ –sama ’ as a suffix may be regarded as a loan usage. YK1976:485; KJ1970:875; OT1968:519. We suggest taking the elements as 木 73 ‘tree’, 羊 426 ‘sheep’, and 水 42 ‘water’.	SHEEP APPEARS TO WATER TREE – AWKWARD SITUATION	images/Chapter3_img_293.jpg
落	RAKU, o	fall, drop	L4	431	12	落下 [RAKKA] - fall, descent; 落ち葉 [ochiba] - fallen leaf; 落し物 [otoshimono] - dropped item	Seal ; late graph ( Shuowen ). Has 艹 53 plant/grass, and 洛 (now NJK for ‘Kyoto’; originally a river name) as phonetic, to give ‘leaves fall’, then general sense ‘fall’. KJ1970:894; MS1995:v2:750; YK1976:488. Suggest use 各 462 ‘each’, with 氵 42 ‘water’.	FROM EACH PLANT, LEAVES FALL LIKE WATER DROPLETS	images/Chapter3_img_294.jpg
流	RYŪ, RU, naga	flow, stream	L3	432	10	流行 [RYŪKŌ] - fashion; 流布 [RUFU] - spread; 流れ木 [nagaregi] - driftwood		INVERTED CHILD BORN IN WATERY FLOW	
旅	RYO, tabi	journey	L4	433	10	旅行 [RYOKŌ] - journey; 旅費 [RYOHI] - travel expenses; 旅人 [tabibito] - traveler		PUT ODD CLOTHES ON ONE SIDE FOR JOURNEY	
両	RYŌ	both, pair, money	L3	434	6	両方 [RYŌHŌ] - both sides; 両手 [RYŌte] - both hands; 両替 [RYŌgae] - money exchange	Bronze ; seal ; traditional form: 兩 . A variant of , depicting a gourd split in half (not quite completely), with the short curved lines inside representing membranes. Originally meant ‘split into two’, then took on more generalised sense ‘two’. Shuowen takes it instead as pictographically representing a pair of scales, but modern scholars consider this analysis carries no weight – though perhaps useful as a mnemonic. MS1995:v1:98-9; KJ1970:200-01; YK1976:496-7.	SCALES WEIGH BOTH PARTS OF A PAIR	images/Chapter3_img_302.jpg; images/Chapter3_img_303.jpg; images/Chapter3_img_304.jpg
緑	RYOKU, ROKU, midori	green	L3	435	14	常緑樹 [JŌRYOKUJU] - evergreen; 緑青 [ROKUSHŌ] - verdigris; 緑色 [midoriiro] - green	OBI ; seal ; traditional 綠 . Seal form onwards has 糸 29 ‘thread’, and 䩑 (CO; OBI and bronze forms of the latter are typically taken as originally a pictograph showing wine being strained and dripping down), the latter as phonetic with associated sense ‘verdigris’, including its color. (Verdigris is a bluish-green coating which comes out of copper and forms on its surface; later written 録 640 qv [the meaning ‘record, make a copy’ is a later loan usage].) The overall meaning of 緑 was originally ‘silk the color of verdigris’; later it was used for just the color itself. KJ1970:932,931; YK1976:499; MS1995:v2:1018-9,v1:474-5. We suggest taking 䩑 as a hand ヨ squeezing liquid/water (see 水 42 ‘water’).	HAND SQUEEZES GREEN DROPS IN THREAD-LIKE FASHION	images/Chapter3_img_305.jpg; images/Chapter3_img_306.jpg
礼	REI	propriety, bow	L3	436	5	失礼 [SHITSUREI] - impoliteness; 礼服 [REIFUKU] - formal attire; 敬礼 [KEIREI] - bow		PERSON KNEELS AT ALTAR SHOWING DUE PROPRIETY	
列	RETSU	row, line	L3	437	6	列車 [RESSHA] - train; 列次 [RETSUJI] - sequence; 前列 [ZENRETSU] - front row	Seal . Has 刂 198 ‘knife, cut’, and an early form (see 302), interpreted as skeletal remains (possibly this depicted just the occipital bone, which forms back and base of skull and encircles top of spinal cord, to represent a complete skeleton); in later stages of the script this changed in shape through to become 歹 . The latter element serves as phonetic with associated sense ‘separate, cleave’. There was a set order to cutting up an animal into pieces, often arranged in a row, and so the meaning of this graph was extended to ‘row, line, order’. MS1995:v1:126-7; YK1976:503-4, 312; KJ1970:922.	CUT UP BONES IN A ROW	images/Chapter3_img_309.jpg; images/Chapter3_img_310.jpg; images/153a.jpg
練	REN, ne	refine, knead, train	L3	438	14	訓練 [KUNREN] - training; 洗練 [SENREN] - refinement; 練り粉 [neriko] - dough	Seal ; a late graph ( Shuowen ); traditional 練 . Has 糸 29 ‘thread’, and 柬 (originally 束 561 ‘bundle of twigs/branches’, with 八 70 ‘divide; select’) as phonetic with associated sense ‘soften by boiling’, which referred to a process of bringing out the gloss in silk thread, and was also applied to the product, i.e. silk fabric woven with glossed thread. The meaning was then modified from ‘work/process silk thread’ to ‘attain skill in a task, practice’. KJ1970:648; MS1995:v1:658-9; YK1976:504-5; OT1968:784. We suggest taking the right-hand element as 東 201 ‘east’.	REFINED THREADS FROM THE EAST	images/Chapter3_img_311.jpg
路	RO, -ji	road, route	L3	439	13	道路 [DŌRO] - road; 線路 [SENRO] - rail track; 旅路 [tabiji] - journey		EACH FOOT FOLLOWS SAME ROAD, SAME ROUTE	
和	WA, O, yawa	Japan, peace, soft	L3	440	8	平和 [HEIWA] - peace; 大和 [Yamato*] - Japan; 和食 [WASHOKU] - Japanese food		SOFT RICE FOR THE MOUTH IN PEACEFUL JAPAN	
愛	AI	love	L3	441	13	愛情 [AIJŌ] - love; 母性愛 [BOSEIAI] - maternal love; 愛国者 [AIKOKUSHA] - patriot	Seal ; traditional ; late graph ( Shuowen ). Views vary. There are several complicating factors with the etymology of this graph, explained below. Analyzed by Yamada as 夊 in line with the seal form (‘walk slowly, drag feet’ [determinative 35; see Appendix]), with (an obsolete graph meaning ‘favor, feel compassion’) as phonetic with associated sense ‘by stealth’, to give overall meaning ‘walk stealthily’; Katō sees this tentatively as the possible meaning also. Both scholars regard ‘love’ as a loan usage. Mizukami notes an alternative analysis: 心 164 ‘heart, mind’ with 夂 ‘descending foot’ (determinative 34) and 旡 (originally, pictograph of person who has eaten till full) ‘be full; stick in the throat’; overall meaning is ‘difficult to move forward with heart full of anguish’, and ‘love’ as loan usage. Note this analysis has 夂 ‘descending foot’, but treats as meaning 夊 ‘walk slowly’. Morohashi quotes the voluminous 17 th century dictionary Zhengzitong in treating as the original way of writing 愛 . He makes no mention of loan usage for ‘love’, though it would appear to be valid to take ‘love’ as an extension of ‘favor, feel compassion’, the original meaning of . YK1976:49; KJ1970:1-2; MT1989:v4:980, 1123; MS1995:v1:513-4. Note: for more on 夂 and 夊 see Appendix. We suggest taking 夂 as crossed legs, 爫 1739 as ‘hand’, 冖 as cover, and 心 164 ‘heart’.	SIT CROSS-LEGGED, HAND COVERING HEART, IN LOVE	images/Chapter4_img_0.jpg; images/Chapter4_img_1.jpg; images/Chapter4_img_2.jpg; images/Chapter4_img_3.jpg; images/Chapter4_img_4.jpg
案	AN	plan, concern, table	L3	442	10	提案 [TEIAN] - plan; 案外 [ANGAI] - unexpectedly; 案内 [ANNAI] - guidance	Seal ; late graph ( Shuowen ). Has 木 73 ‘tree, wood’, and 安 242 (‘relax’) as phonetic with associated sense ‘place, put’, to represent a small table on which tableware and food were put. Meanings such as ‘investigate’, ‘consider’, ‘plan’ are loan usages (Yamada). Art dating back to the Shang Dynasty shows that low tables were in use in China at that period already. YK1976:51; OT1968:501.	PLAN TO RELAX AT WOODEN TABLE	images/Chapter4_img_5.jpg
以	I, mot	start point, use, means, because	L4	443	5	以下 [IKA] - below; 以内 [INAI] - within; 以外 [IGAI] - outside, except		PERSON STARTS USING PLOW AS A MEANS TO MOVE CLODS	
衣	I, koromo	clothing	L3	444	6	衣服 [IFUKU] - clothing; 衣類 [IRUI] - garments; 衣替え [koromogae] - change of clothes		CLOTHING IS SORT OF TOO BIG – COLLAR AND SLEEVES ETC	
位	I, kurai	rank, extent	L3	445	7	地位 [CHII] - position, rank; 学位 [GAKUI] - academic degree; 位置 [ICHI] - situation, position	Seal ; a late graph ( Shuowen ). Mizukami and Yamada say 位 and 立 77 ‘stand (/ up)’ were originally the same graph, but the situation would be better expressed as ‘originally (in Chinese) 立 represented two separate but related words’, one meaning ‘stand, stand up’, the other meaning ‘position or place (in a court or group of persons)’. For this latter meaning, the separate graph with 亻 41 ‘person’ added as left-hand component was devised at the seal stage. Yamada takes as 亻 ‘person’ with 立 , the latter functioning as both semantic and phonetic meaning ‘people lined up’, to give an overall meaning of ‘place where people stand’; Katō is in agreement. MS1995:v1:52-3; AS2007:351, 512-3; OT1968:52; YK1976:52-3;	PERSON STANDS ACCORDING TO RANK	images/Chapter4_img_12.jpg
囲	I, kako	surround	L3	446	7	周囲 [SHŪI] - perimeter; 範囲 [HAN’I] - range; 囲い込む [kakoikomu] - enclose		ENCLOSURE SURROUNDS WELL	
胃	I	stomach	L3	447	9	胃液 [IEKI] - gastric juice; 胃袋 [Ibukuro] - stomach; 胃弱 [IJAKU] - dyspepsia		FLESHY STOMACH SEEN IN FIELD	
印	IN, shirushi	seal, sign, symbol	L3	448	6	印刷 [INSATSU] - printing; 印判 [INBAN] - seal; 目印 [mejirushi] - guiding mark		HAND PRESSES DOWN ON PERSON AS ON SEAL	
英	EI	superior, england	L4	449	8	英才 [EISAI] - talent; 英国 [EIKOKU] - England; 英語 [EIGO] - English language	Seal ; late graph ( Shuowen ). Has 艹 53 ‘plant’, and 央 254 ‘center’ as phonetic with associated sense ‘blossom’, and by extension ‘beautiful, excellent’. The sense ‘Britain’ reflects the adoption by the Chinese of this graph for its sound value ( ying ) to represent the Chinese version of ‘England’, i.e. 英 国 Yingguo ). The choice of 英 seems to show a positive view of England/Britain at the time. YK1976:65; KJ1970:77; OT1968:846.	SUPERIOR PLANTS IN THE CENTER OF ENGLAND	images/Chapter4_img_19.jpg
栄	EI, saka	flourish, glory, shine	L3	450	9	光栄 [KŌEI] - glory, honor; 栄養 [EIYŌ] - nutrition; 繁栄 [HAN’EI] - prosperity		GLORIOUS TREE FLOURISHES UNDER ORNATE COVER	
塩	EN, shio	salt	L3	451	13	食塩 [SHOKUEN] - table salt; 塩水 [shiomizu] - saltwater; 製塩所 [SEIENSHO] - saltworks	Seal ; traditional 鹽 . Traditional form has 鹵 , based on pictograph of salt or salty soil contained in a basket-like container, and 監 1159 (‘watch’) as phonetic with associated sense ‘bitter’ (Katō, Yamada); Schuessler, though, considers the proposed associated sense ‘bitter’ as unlikely here, on linguistic grounds. Ogawa, by contrast, takes the sense of the phonetic as ‘soak in water’, namely seawater. This is noted tentatively as a possibility by Mizukami also, who gives a bronze equivalent that includes 氵 42 ‘water’ as an additional component, though the ‘water’ component here could alternatively reflect part of a process for obtaining salt (‘rock salt’) from salty soil. Salt was an important trading commodity in ancient China, as in other ancient civilisations, due in part to its preserving qualities. The modern (block script) form has 土 64 ‘earth, ground’, reflecting that one salt production method was from the ground. The right-hand side is a simplified modification in shape to the upper right and lower elements of the traditional form (examples of the simplified right-hand side can be found in Han time clerical script). KJ1970:105; YK1976:71; OT1968:1158; MS1995:v2:1502-3; AS2007:554; WM1974:121. Suggest taking four components: 土 64 ‘ground’, 41 ‘person’, 口 22 ‘mouth’, and 皿 300 ‘dish ‘.	PERSON SPITS SALTY DISH FROM MOUTH TO GROUND	images/Chapter4_img_24.jpg; images/Chapter4_img_25.jpg
億	OKU	100,000,000; lots	L3	452	15	二億 [NIOKU] - 200 million; 十億 [JŪOKU] - billion; 億兆 [OKUCHŌ] - ‘the masses’	Seal ; late graph ( Shuowen ). Has 亻 41 ‘person’ and 意 246 (‘thought’) as semantic and phonetic with associated meaning ‘heart is full, content’ (Ogawa), giving overall meaning ‘satisfied person’. The meaning ‘one hundred million/extremely large number’ (originally ‘one hundred thousand’) is loan usage. Based on the seal form Yamada feels that the standard script form of 億 should properly be (‘satisfied’), but Kangxi zidian quotes the 11th century Jiyun dictionary, which says that this latter graph and 億 are the same. OT1968:81; KJ1970:300-01; YK1976:74-5; ZY2009:v1:48.	PERSON WITH A HUNDRED MILLION THOUGHTS	images/Chapter4_img_26.jpg; images/Chapter4_img_27.jpg
加	KA, kuwa	add, join	L3	453	5	増加 [ZŌKA] - increase; 参加 [SANKA] - participation; 加え算 [kuwaeZAN] - adding		SPEECH HAS ADDED STRENGTH	
果	KA, ha	fruit, result, carry out	L3	454	8	成果 [SEIKA] - result; 果物 [kudamono*] - fruit; 果たして [hatashite] - as expected	OBI ; seal . OBI form depicts fruit on 木 73 ‘tree’. Seal script has what seems to be 田 63 ‘field’, but this is generally taken as fruit (Yamada says fruit with streaks), to give overall meaning ‘small fruit on a tree’. ‘Carry out’ and ‘result’ are extended meanings. MS1995:v1:652-3; YK1976:80; KJ1970:306-7; OT1968:492; TA1965:611-17.	HAVING TREE IN FIELD RESULTS IN FRUIT	images/Chapter4_img_28.jpg; images/Chapter4_img_29.jpg
貨	KA	goods, money	L3	455	11	貨物船 [KAMOTSUSEN] - freighter; 硬貨 [KŌKA] - hard currency; 雑貨 [ZAKKA] - sundry goods	Seal ; late graph ( Shuowen ). Has 貝 10 ‘shell/currency’, and 化 258 (‘change’) as semantic and phonetic meaning ‘change’, to give overall sense ‘currency changes into something different’ or ‘something exchanged with money’; and by extension, ‘treasure, wealth, assets’. This graph is seen on one category of very early inscribed items found in Japan (sites in Nagasaki Prefecture) – coins brought over from China dating back to the early 1 st century AD which in seal script read 貨泉 ‘coinage’ ( 泉 926 ‘spring’, here serves as loan for 銭 757 ‘copper coin, money’). OT1968:953; MS1995:v2:1232-3; KJ1970:306; CS2000:9.	CHANGE SHELLS FOR GOODS OR MONEY	images/Chapter4_img_30.jpg
課	KA	section, lesson, levy	L3	456	15	課税 [KAZEI] - taxation; 課長 [KACHŌ] - section head; 第二課 [DAINIKA] - Lesson Two	Seal ; late graph ( Shuowen ). Has 言 118 ‘words/speech’, and 果 454 (‘fruit/result’) as phonetic with associated sense i] ‘consider, test’ (Katō, Yamada), to give ‘consider one’s words’; or ii] ‘divide’ (Ogawa), to give ‘divide up work and test what is done’. If Ogawa’s interpretation is followed, the division of work, which would involve allocation, and often a degree of sequencing, may be seen as having given rise to extended meanings such as ‘levy’, ‘section’, ‘lesson’. KJ1970:307; YK1976:84; OT1968:933.	A LESSON IN FRUITFUL WORDS	images/Chapter4_img_31.jpg
芽	GA, me	bud, sprout, shoot	L1	457	8	発芽 [HATSUGA] - sprouting; 新芽 [SHINme] - bud, sprout; 芽生える [mebaeru] - to bud, sprout		PLANT SPROUTS FANG-LIKE BUDS	
改	KAI, arata	reform	L3	458	7	改革 [KAIKAKU] - reform; 改正 [KAISEI] - amendment; 改めて [aratamete] - once again		BEAT A SNAKE TO MAKE IT REFORM Or: FORCE ONESELF TO REFORM	
